id,gender,dateofbirth,education,department,salary,starting_salary,job_time,previous_experience,minority
1,Male,03-02-1952,15,IT,57000,27000,8.17,,No
2,Male,23-05-1958,16,IT,40200,18750,8.17,3,No
3,Female,26-07-1929,12,Finance,21450,12000,8.17,31.75,No
4,Female,15-04-1947,18,IT,21900,13200,8.17,15.83,No
5,Male,09-02-1955,15,Finance,45000,21000,8.17,11.5,No
6,Male,22-08-1958,15,Sales,32100,13500,8.17,5.58,No
7,Male,26-04-1956,15,IT,36000,18750,8.17,9.5,No
8,Female,06-05-1966,12,Finance,21900,9750,8.17,,No
9,Female,23-01-1946,15,Accounting,27900,12750,8.17,9.58,No
10,Female,13-02-1946,12,Finance,24000,13500,8.17,20.33,No
11,Female,07-02-1950,16,Human Resources,30300,16500,8.17,11.92,No
12,Male,11-01-1966,18,Engineering,28350,12000,8.17,2.17,Yes
13,Male,17-07-1960,15,Human Resources,27750,14250,8.17,2.83,Yes
14,Female,26-02-1949,15,Finance,35100,16800,8.17,11.42,Yes
15,Male,29-08-1962,12,Accounting,27300,13500,8.08,5.5,No
16,Male,17-11-1964,12,Marketing,40800,15000,8.08,2,No
17,Male,18-07-1962,15,Finance,46000,14250,8.08,4,No
18,Male,20-03-1956,16,Marketing,103750,27510,8.08,5.83,No
19,Male,19-08-1962,12,IT,42300,14250,8.08,8.58,No
20,Female,23-01-1940,12,Sales,26250,11550,8.08,4,No
21,Female,19-02-1963,16,IT,38850,15000,8.08,1.42,No
22,Male,24-09-1940,12,Sales,21750,12750,8.08,26.25,Yes
23,Female,15-03-1965,15,IT,24000,11100,8.08,6.25,Yes
24,Female,27-03-1933,12,Sales,16950,9000,8.08,10.33,Yes
25,Female,01-07-1942,15,Sales,21150,9000,8.08,14.25,Yes
26,Male,08-11-1966,15,Human Resources,31050,12600,8,1.17,No
27,Male,19-03-1954,19,Engineering,60375,27480,8,8,No
28,Male,11-04-1963,15,Engineering,32550,14250,8,3.58,No
29,Male,28-01-1944,19,Engineering,135000,79980,8,16.58,No
30,Male,17-09-1961,15,IT,31200,14250,8,4.5,No
31,Male,24-02-1964,12,IT,36150,14250,8,6.92,No
32,Male,28-01-1954,19,Finance,110625,45000,8,10,No
33,Male,18-03-1961,15,Sales,42000,15000,8,5.67,No
34,Male,02-02-1949,19,Sales,92000,39990,8,14.58,No
35,Male,22-08-1961,17,Finance,81250,30000,8,1.5,No
36,Female,07-08-1963,18,IT,31350,11250,8,4.33,No
37,Male,09-10-1954,12,Engineering,29100,13500,8,9.42,Yes
38,Male,27-04-1962,15,Marketing,31350,15000,8,4.08,Yes
39,Male,22-06-1960,16,IT,36000,15000,8,3.83,Yes
40,Female,28-08-1933,15,IT,19200,9000,8,1.92,Yes
41,Female,18-03-1961,12,Human Resources,23550,11550,8,4.33,Yes
42,Male,23-09-1960,15,Marketing,35100,16500,7.92,7.5,No
43,Male,18-01-1964,12,IT,23250,14250,7.92,3.83,No
